perf_id,campaign_id,inf_id,post_date,post_url,actual_cost,impressions,clicks,conversions,revenue,genai_comment_summary
1,DALBA-CAMP-25010,ksong_94,2025-04-06,https://instagram.com/p/_5Our4GDY0w,2966979,192166,4058,71,3328551,긍정 88%.
2,DALBA-CAMP-25015,hayunan_10,2025-08-13,https://instagram.com/p/!DP9e1ZBk4K,870950,21540,634,15,862560,긍정 81%.
3,DALBA-CAMP-25007,minsu38_6,2025-07-31,https://instagram.com/p/*09ldbcoG_H,700239,53717,2584,60,3189780,긍정 79%.
4,DALBA-CAMP-25003,sujingim_53,2025-07-20,https://instagram.com/p/u@nG%Thq%8y,3922314,282426,10976,314,18006644,긍정 76%.
5,DALBA-CAMP-25011,jeonghunbag_178,2025-03-12,https://instagram.com/p/Zp)c4Awi#f6,1069476,58213,803,18,569952,긍정 83%.
6,DALBA-CAMP-25019,jseo_158,2025-08-23,https://instagram.com/p/PxhBxacp)9v,3263395,218594,8495,100,3359600,긍정 79%.
7,DALBA-CAMP-25003,pjang_182,2025-06-08,https://instagram.com/p/*_W1Rtx)z55,506530,8543,347,3,168864,긍정 93%.
8,DALBA-CAMP-25003,baghaeun_144,2025-06-17,https://instagram.com/p/U@DU31Ei2Ub,4488865,278545,11008,164,5885796,긍정 95%.
9,DALBA-CAMP-25002,ri_174,2025-04-23,https://instagram.com/p/M+u65TucFrF,1679413,73630,2656,57,1942275,긍정 91%.
10,DALBA-CAMP-25011,boramseo_186,2025-02-28,https://instagram.com/p/_Sg_L9Nkh#1,164220,4920,100,1,57865,긍정 79%.
11,DALBA-CAMP-25008,jimin73_148,2025-03-27,https://instagram.com/p/@a_YuXu)h6$,2505208,165436,5891,167,8435170,긍정 72%.
12,DALBA-CAMP-25017,myeongjabag_80,2025-05-14,https://instagram.com/p/9aOQqJdSQ&9,446089,40108,598,10,444240,긍정 95%.
13,DALBA-CAMP-25016,mijeongcoe_85,2025-09-11,https://instagram.com/p/1VOLUsy%#y1,4620356,82054,974,23,1311506,긍정 93%.
14,DALBA-CAMP-25015,sunja01_196,2025-08-01,https://instagram.com/p/Qfdn9KNI%)6,1795439,25716,401,11,462737,긍정 89%.
15,DALBA-CAMP-25013,jihungim_51,2025-02-19,https://instagram.com/p/gIL7WJ#q+q),3533282,280711,5335,136,7437704,긍정 92%.
16,DALBA-CAMP-25012,ujinbag_189,2025-08-20,https://instagram.com/p/uWS9cYSkwh@,80151,1326,26,0,0,긍정 85%.
17,DALBA-CAMP-25017,seonyeonggim_161,2025-05-03,https://instagram.com/p/Mx8Uu62sg)y,619920,34635,705,7,235606,긍정 72%.
18,DALBA-CAMP-25015,ryuseongsu_134,2025-08-27,https://instagram.com/p/x0ud0SCu)9p,4801510,124362,6076,123,5164647,긍정 79%.
19,DALBA-CAMP-25009,jangjihu_77,2025-05-19,https://instagram.com/p/*XQ6LeKt%x4,807089,29952,515,7,264789,긍정 72%.
20,DALBA-CAMP-25019,eunseo04_18,2025-09-01,https://instagram.com/p/y6OKf!$G(c1,763052,47579,1453,33,1408671,긍정 73%.
21,DALBA-CAMP-25004,pjang_182,2025-02-09,https://instagram.com/p/h_81DMbPXvv,313868,16744,199,1,53174,긍정 75%.
22,DALBA-CAMP-25006,egim_129,2025-10-02,https://instagram.com/p/E5n1x%hI#bA,3101364,110652,1992,10,442050,긍정 93%.
23,DALBA-CAMP-25013,hyeonjeonggim_119,2025-01-19,https://instagram.com/p/)7gBamkVPvV,4225895,205587,6967,52,2943876,긍정 75%.
24,DALBA-CAMP-25012,gyeonghyibag_175,2025-09-04,https://instagram.com/p/9uPi%qyI#ha,507355,19387,951,17,532202,긍정 82%.
25,DALBA-CAMP-25014,ji_4,2025-10-02,https://instagram.com/p/d@ZOghMIKX2,3848566,110984,5026,103,6032298,긍정 82%.
26,DALBA-CAMP-25004,caeweoni_105,2025-02-09,https://instagram.com/p/5ASgwt%f*_v,1943711,160888,6415,131,4062441,긍정 93%.
27,DALBA-CAMP-25011,yeongsug59_150,2025-03-30,https://instagram.com/p/1)K3tXAaokt,802250,70440,3454,75,2307675,긍정 88%.
28,DALBA-CAMP-25004,jiyeongim_64,2025-02-15,https://instagram.com/p/_m@IN%yq#51,2274935,155899,7105,135,6626340,긍정 84%.
29,DALBA-CAMP-25019,gimjeongnam_42,2025-09-12,https://instagram.com/p/(u83TZGm3C6,4460605,157614,4080,78,3484728,긍정 92%.
30,DALBA-CAMP-25008,caeweoni_105,2025-02-16,https://instagram.com/p/*qZqDtjgS5E,2087147,177917,6412,71,3259184,긍정 90%.
31,DALBA-CAMP-25002,sjo_194,2025-05-13,https://instagram.com/p/Wq4xQaP__7g,2180228,122059,5677,40,2347080,긍정 92%.
32,DALBA-CAMP-25006,li_57,2025-11-19,https://instagram.com/p/p+B8Uj#e7aQ,2368391,112978,5246,82,2669182,긍정 81%.
33,DALBA-CAMP-25017,hbag_39,2025-05-02,https://instagram.com/p/&ex1^xuK7aT,2399860,51980,620,7,393176,긍정 84%.
34,DALBA-CAMP-25010,munyeonghyi_155,2025-03-23,https://instagram.com/p/8_D4Wf^GHF$,3618916,263433,5100,70,3541160,긍정 85%.
35,DALBA-CAMP-25015,jiagim_48,2025-07-30,https://instagram.com/p/^6SK2wuK#3W,61839,1579,78,2,78684,긍정 71%.
36,DALBA-CAMP-25014,yeongjinbag_112,2025-09-12,https://instagram.com/p/!e(GakYd(M5,3360783,158123,4931,65,2114580,긍정 95%.
37,DALBA-CAMP-25017,yejingim_193,2025-05-26,https://instagram.com/p/UCx2mJ)v+3C,4117730,371565,5940,39,2231229,긍정 71%.
38,DALBA-CAMP-25018,jangjihu_77,2025-10-22,https://instagram.com/p/1&2^rV8tuRy,2651202,175605,4835,123,3706605,긍정 70%.
39,DALBA-CAMP-25017,pjang_182,2025-05-16,https://instagram.com/p/KZVVs+zH&2#,1651892,116267,4850,67,2368450,긍정 72%.
40,DALBA-CAMP-25004,jeongsug56_101,2025-02-28,https://instagram.com/p/&i6Yb*zQ$6(,4369782,393091,11079,106,4434298,긍정 78%.
41,DALBA-CAMP-25018,vgim_11,2025-10-21,https://instagram.com/p/x)8OI3LEhg@,2705487,263371,4756,38,2106530,긍정 77%.
